,Account Name Cleaned,Company Name Cleaned,Similarity,T/F
0,larsen  toubro infotech lti,larsen  toubro infotech,0.953,False
1,nexo,nexon,0.965,False
2,the port authority of new york and new jersey,the port authority of new york  new jersey,0.983,False
3,the rubicon project,rubicon project,0.953,False
4,the stevenson company,the stevens company,0.951,False
5,new mexico institute of mining and technology,new mexico institute of mining  technology,0.979,False
6,the university of georgia,university of georgia,0.952,False
7,the university of maryland medical system,university of maryland medical system,0.969,False
8,the university of tennessee medical center,university of tennessee medical center,0.969,False
9,the university of texas of the permian basin,university of texas of the permian basin,0.979,False
10,new england law school,new england school of law,0.97,False
11,new castle county de,new castle county,0.965,False
12,h lundbeck as,lundbeck,0.956,False
13,blue star,bluestar,0.96,False
14,neurostar,eurostar,0.952,False
15,thomas johnstone,johnston thomas,0.973,False
16,thomas judy  tucker p a,thomas judy  tucker pa,0.976,False
17,blue cross blue shield of arkansas,arkansas blue cross  blue shield,0.986,False
18,blue cross and blue shield of kansas city,blue cross  blue shield of kansas city,0.983,False
19,thompson consulting,thompsonconsulting,0.968,False
20,the national treasury employees union,national treasury employees union,0.973,False
21,gresham smith and partners,gresham smith  partners,0.963,False
22,boulder county co,boulder county,0.982,False
23,the monterey bay aquarium,monterey bay aquarium,0.964,False
24,the depository trust  clearing,depository trust  clearing,0.958,False
25,grapevinecolleyville independent school district,grapevine  colleyville independent school district,0.992,False
26,gratiotisabella resd,gratiot  isabella resd,0.986,False
27,the fountain,the fountains,0.955,False
28,grayco,graycor,0.961,False
29,the good shepherd lutheran church,lutheran church of the good shepherd,0.987,False
30,the greenwich academy,greenwich academy,0.954,False
31,grayrobinson,grayrobinson pa,0.969,False
32,nivel parts and manufacturing,nivel parts  manufacturing,0.971,False
33,thompson gas,thompsongas,0.963,False
34,the issaquah school district,issaquah school district,0.967,False
35,the journey church,journey church,0.953,False
36,the lighthouse for the blind,lighthouse for the blind,0.975,False
37,bozzutos,bozzuto,0.962,False
38,the lutheran churchmissouri synod,the lutheran church  missouri synod,0.953,False
39,nibc,nibco,0.96,False
40,ni networks,z networks,0.958,False
41,bowman and brooke,bowman  brooke,0.962,False
42,ng advantage,advantage,0.96,False
43,the metropolitan water district of southern california,metropolitan water district of southern california,0.982,False
44,the johns hopkins university applied physics laboratory,johns hopkins university applied physics laboratory,0.985,False
45,thos somerville,thos somerville co,0.976,False
46,netra technologies,tetra technologies,0.955,False
47,thousand eyes,thousandeyes,0.964,False
48,bethunecookman university,bethune  cookman university,0.983,False
49,health and wellness partners,health  wellness partners,0.97,False
50,health heal,health,0.951,False
51,trabacus technologies,abacus technologies,0.96,False
52,national council state boards of nursing,national council of state boards of nursing,0.985,False
53,trace security,tracesecurity,0.972,False
54,national carton  coating,national carton  coating co,0.987,False
55,bernstein litowitz berger  grossman,bernstein litowitz berger  grossmann,0.978,False
56,national archives and records administration,national archives  records administration,0.981,False
57,better brands,bettera brands,0.973,False
58,napp pharmaceuticals,app pharmaceuticals,0.976,False
59,heartland payment system,heartland payment systems,0.964,False
60,nagarro es,nagarro,0.961,False
61,transportation one,k c transportation,0.951,False
62,transporte,l  b transport,0.966,False
63,ben bridge jewelers,ben bridge jeweler,0.973,False
64,trent college,centre college,0.953,False
65,muskegonorway school district,muskego  norway school district,0.991,False
66,hensel phelps construction,hensel phelps construction co,0.991,False
67,museum of fine arts  houston,the museum of fine arts houston,0.961,False
68,heartland bank and trust company,heartland bank  trust company,0.98,False
69,dep engineering,ep engineering,0.963,False
70,hazen and sawyer,hazen  sawyer,0.963,False
71,national recreation and park association,national recreation  park association,0.983,False
72,hamptonnewport news community services board,hampton  newport news community services board,0.982,False
73,netgain information systems co,netgain information systems,0.99,False
74,blackstonecullen,blackstone  cullen,0.973,False
75,hand enterprise solutions,hand enterprise solutions co,0.984,False
76,blackhawk network de,blackhawk network,0.983,False
77,hardinsimmons university,hardin  simmons university,0.984,False
78,bitzer,r d bitzer co,0.97,False
79,harmony healthcare,harmony healthcare it,0.981,False
80,time financial,financial times,0.971,False
81,touchpoint,touchpoints,0.953,False
82,harperscott,harper  scott,0.955,False
83,nd industries,d b industries,0.96,False
84,harris williams  co,harris williams,0.98,False
85,biorad laboratories,bio  rad laboratories,0.987,False
86,titans security,titan security,0.965,False
87,hashicorp,hashi corp,0.964,False
88,nature sweet,naturesweet,0.975,False
89,hawaii electric company,hawaiian electric company,0.969,False
90,big worldwide,bi worldwide,0.955,False
91,bgc,bgco,0.973,False
92,timpact,impact,0.955,False
93,north america,north american,0.97,False
94,the cancer support community,cancer support community,0.958,False
95,the archdiocese of baltimore,archdiocese of baltimore,0.962,False
96,omnicon,omnico,0.966,False
97,omnicom,omnico,0.959,False
98,systems it,o p i systems,0.953,False
99,ta associates,d b associates,0.954,False
100,ta services,ata services,0.952,False
101,ta supply,a c supply,0.956,False
102,ge capital bank,capital bank,0.951,False
103,ge renewable energy,renewable energy,0.973,False
104,ge transportation,k c transportation,0.957,False
105,systematica,systematic,0.956,False
106,taketwo interactive software,take  two interactive software,0.982,False
107,oldfield school,oldfields school,0.956,False
108,oktal,okta,0.965,False
109,caltex protective coatings,cal  tex protective coatings,0.973,False
110,oklahoma university medical center,oklahoma state university medical center,0.958,False
111,general dynamics ordnance and tactical systems,general dynamics ordnance  tactical systems,0.983,False
112,california university of science and medicine,california university of science  medicine,0.979,False
113,california insurance guarantee association ciga,california insurance guarantee association,0.954,False
114,ofssolutions,fssolutions,0.956,False
115,california independent systems operator,california independent system operator,0.979,False
116,geneos therapeutics,neos therapeutics,0.955,False
117,california department of forestry and fire protection,california department of forestry  fire protection,0.983,False
118,on medical,b p i medical,0.952,False
119,capita,b capital,0.953,False
120,surgicare,surgi  care,0.96,False
121,open system technologies,open systems technologies,0.962,False
122,open symmetry,opensymmetry,0.972,False
123,open drives,opendrives,0.952,False
124,fun and function,fun  function,0.961,False
125,onway,nway,0.966,False
126,future,futures,0.958,False
127,onsight,nsight,0.968,False
128,onpointe,onpoint,0.972,False
129,one health,cone health,0.954,False
130,captiveaire systems,captive  aire systems,0.974,False
131,symphony retail ai,symphony retailai,0.977,False
132,gablegotwals,gable  gotwals,0.954,False
133,gabriel  co,gabriel,0.964,False
134,capital mortgages,e mortgage capital,0.982,False
135,syncro,syncron,0.971,False
136,capital bank na,capital bank,0.952,False
137,galesburgaugusta community schools,galesburg  augusta community schools,0.979,False
138,capita it services,capital services,0.952,False
